Street Code Street Type
AA Afar
AL Alley
AX Annex
AD Arcade
AV Avenue
BY Bayou
BH Beach
BD Bend
BF Bluff
BL Bluffs
BM Bottom
BV Boulevard
BN Branch
BR Bridge
BK Brook
BS Brooks
BG Burg
BU Burgs
BP Bypass
CP Camp
CY Canyon
CA Cape
CW Causeway
CN Center
CI Circle
CL Cliff
CB Club
CM Common
CC Concourse
CO Corner
CS Course
CT Court
CV Cove
CK Creek
CR Crescent
CE Crest
CX Crossing
XR Crossroad
CU Curve
DA Dale
DM Dam
DV Divide
DR Drive
ES Estate
EX Expressway
ET Extension
FA Fall
FR Ferry
FD Field
FL Flat
FO Ford
FS Forest
FG Forge
FK Fork
FT Fort
FY Freeway
GA Garden
GW Gateway
GL Glen
GN Green
GR Grove
HB Harbor
HV Haven
HT Heights
HY Highway
HL Hill
HW Hollow
IN Inlet
IS Island
IL Isle
JC Junction
KY Key
KN Knoll
LK Lake
LD Land
LG Landing
LN Lane
LT Light
LF Loaf
LO Lock
LD Lodge
LP Loop
MA Mall
MR Manor
MD Meadow
ME Mews
ML Mill
MS Mission
MN Montee
MW Motorway
MT Mount
MN Mountain
NK Neck
OR Orchard
OV Oval
OP Overpass
PK Park
PY Parkway
PS Pass
PG Passage
PA Path
PI Pike
PE Pine
PL Place
PN Plain
PZ Plaza
PT Point
PO Port
PR Prairie
RA Radial
RM Ramp
RC Ranch
RG Range
RP Rapids
RS Rest
RI Ridge
RV River
RD Road
RT Route
RO Row
RU Rue
RL Ruelle
RN Run
SH Shoal
SR Shore
SK Skyway
SP Spring
SG Spur
SQ Square
SA Station
SV Stravenue
SM Stream
ST Street
SU Summit
TE Terrace
TW Throughway
TC Trace
TK Track
TF Trafficway
TR Trail
TL Trailer
TU Tunnel
TP Turnpike
ode Street Type
UP Underpass
UN Union
VA Valley
VI Viaduct
VW View
VG Village
VL Ville
VS Vista
WK Walk
WA Wall
WY Way
WL Well
NotKnown NotKnown


